,county,Population,cases,Minority_pct,Hotspot
421,Clay,11238.0,906,0.0847,False
422,Cleveland,99332.0,11717,0.2858,False
423,Columbus,49795.0,6459,0.3999,False
424,Craven,102568.0,9470,0.3377,False
425,Cumberland,341793.0,30343,0.576,False
426,Currituck,29385.0,1580,0.1502,False
427,Dare,37817.0,2191,0.1215,False
428,Davidson,171752.0,17032,0.2191,False
429,Davie,43127.0,4180,0.1726,False
430,Duplin,48249.0,6387,0.4646,False
431,Durham,331347.0,25991,0.5714,False
432,Edgecombe,48604.0,5704,0.6394,False
433,Forsyth,387703.0,37030,0.4384,False
434,Franklin,70655.0,7047,0.366,False
435,Gaston,233387.0,27198,0.3121,False
436,Gates,10324.0,749,0.3546,False
437,Graham,7935.0,666,0.1391,False
438,Granville,60720.0,5991,0.4331,False
439,Greene,19978.0,2421,0.5114,False
440,Guilford,545484.0,48742,0.5133,False
441,Halifax,47859.0,5686,0.603,False
442,Harnett,134986.0,12069,0.3871,False
443,Haywood,62831.0,4498,0.091,False
444,Henderson,117429.0,10314,0.1903,False
445,Hertford,20374.0,2117,0.6463,False
446,Hoke,53783.0,4908,0.5962,False
447,Hyde,4595.0,671,0.3559,False
448,Iredell,192986.0,19284,0.2535,False
449,Jackson,41919.0,3660,0.2246,False
450,Johnston,224833.0,22291,0.3406,False
451,Jones,9076.0,899,0.3603,False
452,Lee,64360.0,6154,0.393,False
453,Lenoir,54323.0,6270,0.5081,False
454,Lincoln,88742.0,10289,0.1624,False
455,Macon,37041.0,3166,0.1328,False
456,Madison,21146.0,1601,0.0859,False
457,Martin,21503.0,2329,0.4724,False
458,McDowell,44151.0,5289,0.1396,False
459,Mecklenburg,1128426.0,114737,0.5333,False
460,Mitchell,14783.0,1480,0.0832,False
461,Montgomery,25485.0,3384,0.3431,False
462,Moore,102966.0,9067,0.2278,False
463,Nash,96101.0,11709,0.5011,False
464,New Hanover,230423.0,19559,0.2431,False
465,Northampton,16953.0,1895,0.6042,False
466,Onslow,207928.0,17902,0.33,False
467,Orange,148331.0,8601,0.3336,False
468,Pamlico,12215.0,1119,0.2493,False
469,Pasquotank,40966.0,3451,0.4572,False
470,Pender,62250.0,5554,0.2475,False
471,Perquimans,13049.0,1037,0.2763,False
472,Person,39048.0,3513,0.3464,False
473,Pitt,173536.0,20514,0.4785,False
474,Polk,19461.0,1500,0.1239,False
475,Randolph,143325.0,15352,0.2269,False
476,Richmond,43006.0,4828,0.4419,False
477,Robeson,115899.0,16886,0.7422,False
478,Rockingham,90457.0,8100,0.2817,False
479,Rowan,148565.0,17258,0.3008,False
480,Rutherford,63870.0,7444,0.1806,False
481,Sampson,58371.0,8164,0.4706,False
482,Scotland,33662.0,3910,0.5786,False
483,Stanly,62143.0,7933,0.2137,False
484,Stokes,44422.0,4234,0.1023,False
485,Surry,70573.0,8411,0.1689,False
486,Swain,14046.0,1210,0.3881,False
487,Transylvania,32825.0,2387,0.1221,False
488,Tyrrell,3315.0,326,0.4136,False
489,Union,244960.0,24944,0.3051,False
490,Vance,41665.0,4995,0.6082,False
491,Wake,1154170.0,90468,0.4122,False
492,Warren,18621.0,1817,0.6109,False
493,Washington,10708.0,1140,0.5457,False
494,Watauga,54804.0,5024,0.1546,False
495,Wayne,115895.0,11496,0.4677,False
496,Wilkes,65151.0,6954,0.1344,False
497,Wilson,79078.0,9929,0.526,False
498,Yadkin,36925.0,4136,0.1712,False
499,Yancey,18320.0,1640,0.0868,False
500,Alamance,175029.0,19065,0.3825,False
501,Alexander,36172.0,4456,0.1416,False
502,Alleghany,11057.0,1098,0.1234,False
503,Anson,22028.0,2639,0.5152,False
504,Ashe,26506.0,2253,0.0806,False
505,Avery,17347.0,2165,0.1157,False
506,Beaufort,44150.0,4798,0.3322,False
507,Bertie,17302.0,1796,0.6465,False
508,Bladen,29171.0,3529,0.4561,False
509,Brunswick,144821.0,9374,0.1784,False
510,Buncombe,271638.0,18115,0.1877,False
511,Burke,88398.0,10156,0.2044,False
512,Cabarrus,232873.0,22432,0.3899,False
513,Caldwell,81319.0,9529,0.1462,False
514,Camden,10537.0,696,0.1973,False
515,Carteret,69039.0,5263,0.1393,False
516,Caswell,22400.0,2207,0.374,False
517,Catawba,162841.0,19849,0.2594,False
518,Chatham,77095.0,4760,0.2865,False
519,Cherokee,28738.0,2643,0.1089,False
520,Chowan,13646.0,1495,0.3908,False
521,Clay,11238.0,905,0.0847,False
522,Cleveland,99332.0,11735,0.2858,False
523,Columbus,49795.0,6462,0.3999,False
524,Craven,102568.0,9479,0.3377,False
525,Cumberland,341793.0,30451,0.576,False
526,Currituck,29385.0,1584,0.1502,False
527,Dare,37817.0,2201,0.1215,False
528,Davidson,171752.0,17046,0.2191,False
529,Davie,43127.0,4189,0.1726,False
530,Duplin,48249.0,6391,0.4646,False
531,Durham,331347.0,25991,0.5714,False
532,Edgecombe,48604.0,5718,0.6394,False
533,Forsyth,387703.0,37048,0.4384,False
534,Franklin,70655.0,7044,0.366,False
535,Gaston,233387.0,27221,0.3121,False
536,Gates,10324.0,750,0.3546,False
537,Graham,7935.0,669,0.1391,False
538,Granville,60720.0,5999,0.4331,False
539,Greene,19978.0,2427,0.5114,False
540,Guilford,545484.0,48793,0.5133,False
541,Halifax,47859.0,5688,0.603,False
542,Harnett,134986.0,12096,0.3871,False
543,Haywood,62831.0,4501,0.091,False
544,Henderson,117429.0,10325,0.1903,False
545,Hertford,20374.0,2117,0.6463,False
546,Hoke,53783.0,4922,0.5962,False
547,Hyde,4595.0,671,0.3559,False
