,Population,region,pop_dens,Hotspot_2
25991,1154170.0,Eastern,1353.3,True
26091,1154170.0,Eastern,1353.3,True
26191,1154170.0,Eastern,1353.3,True
26291,1154170.0,Eastern,1353.3,True
26391,1154170.0,Eastern,1353.3,True
26491,1154170.0,Eastern,1353.3,True
26591,1154170.0,Eastern,1353.3,True
26691,1154170.0,Eastern,1353.3,True
26791,1154170.0,Eastern,1353.3,True
26891,1154170.0,Eastern,1353.3,True
26991,1154170.0,Eastern,1353.3,True
27091,1154170.0,Eastern,1353.3,True
27191,1154170.0,Eastern,1353.3,True
27291,1154170.0,Eastern,1353.3,True
27391,1154170.0,Eastern,1353.3,True
27491,1154170.0,Eastern,1353.3,True
27591,1154170.0,Eastern,1353.3,True
27691,1154170.0,Eastern,1353.3,True
27791,1154170.0,Eastern,1353.3,True
27891,1154170.0,Eastern,1353.3,True
27991,1154170.0,Eastern,1353.3,True
28091,1154170.0,Eastern,1353.3,False
28191,1154170.0,Eastern,1353.3,False
28291,1154170.0,Eastern,1353.3,False
28391,1154170.0,Eastern,1353.3,True
28491,1154170.0,Eastern,1353.3,True
28591,1154170.0,Eastern,1353.3,True
28691,1154170.0,Eastern,1353.3,True
28791,1154170.0,Eastern,1353.3,True
28891,1154170.0,Eastern,1353.3,True
28991,1154170.0,Eastern,1353.3,True
29091,1154170.0,Eastern,1353.3,True
29191,1154170.0,Eastern,1353.3,True
29291,1154170.0,Eastern,1353.3,True
29391,1154170.0,Eastern,1353.3,False
29491,1154170.0,Eastern,1353.3,True
29591,1154170.0,Eastern,1353.3,True
29691,1154170.0,Eastern,1353.3,True
29791,1154170.0,Eastern,1353.3,False
29891,1154170.0,Eastern,1353.3,False
29991,1154170.0,Eastern,1353.3,False
30091,1154170.0,Eastern,1353.3,True
30191,1154170.0,Eastern,1353.3,False
30291,1154170.0,Eastern,1353.3,False
30391,1154170.0,Eastern,1353.3,False
30491,1154170.0,Eastern,1353.3,True
30591,1154170.0,Eastern,1353.3,True
30691,1154170.0,Eastern,1353.3,False
30791,1154170.0,Eastern,1353.3,False
30891,1154170.0,Eastern,1353.3,False
30991,1154170.0,Eastern,1353.3,False
31091,1154170.0,Eastern,1353.3,False
31191,1154170.0,Eastern,1353.3,False
31291,1154170.0,Eastern,1353.3,False
31391,1154170.0,Eastern,1353.3,True
31491,1154170.0,Eastern,1353.3,True
31591,1154170.0,Eastern,1353.3,True
31691,1154170.0,Eastern,1353.3,True
31791,1154170.0,Eastern,1353.3,True
31891,1154170.0,Eastern,1353.3,True
31991,1154170.0,Eastern,1353.3,True
32091,1154170.0,Eastern,1353.3,True
32191,1154170.0,Eastern,1353.3,True
32291,1154170.0,Eastern,1353.3,True
32391,1154170.0,Eastern,1353.3,True
32491,1154170.0,Eastern,1353.3,True
32591,1154170.0,Eastern,1353.3,True
32691,1154170.0,Eastern,1353.3,True
32791,1154170.0,Eastern,1353.3,False
32891,1154170.0,Eastern,1353.3,True
32991,1154170.0,Eastern,1353.3,False
33091,1154170.0,Eastern,1353.3,False
33191,1154170.0,Eastern,1353.3,False
33291,1154170.0,Eastern,1353.3,True
33391,1154170.0,Eastern,1353.3,True
33491,1154170.0,Eastern,1353.3,False
33591,1154170.0,Eastern,1353.3,False
