,date,county,state,fips,cases,deaths,Population,casesprop,deathsprop,dailycase,weeklycase,dailydeath,weeklydeath,weeklyper100k,tranlevel,Minority_pct,region
48,2021-07-01,Iredell,North Carolina,37097.0,19279,236.0,192986.0,0.0999,0.0012,0.0,0.0,0.0,0.0,0.0,Low,0.25349999999999995,Northern
49,2021-07-01,Jackson,North Carolina,37099.0,3661,56.0,41919.0,0.0873,0.0013,0.0,0.0,0.0,0.0,0.0,Low,0.22460000000000002,Western
50,2021-07-01,Johnston,North Carolina,37101.0,22280,237.0,224833.0,0.0991,0.0011,0.0,0.0,0.0,0.0,0.0,Low,0.3406,Coastal
51,2021-07-01,Jones,North Carolina,37103.0,899,28.0,9076.0,0.0991,0.0031,0.0,0.0,0.0,0.0,0.0,Low,0.36029999999999995,Coastal
52,2021-07-01,Lee,North Carolina,37105.0,6155,82.0,64360.0,0.0956,0.0013,0.0,0.0,0.0,0.0,0.0,Low,0.393,Eastern
53,2021-07-01,Lenoir,North Carolina,37107.0,6269,124.0,54323.0,0.1154,0.0023,0.0,0.0,0.0,0.0,0.0,Low,0.5081,Coastal
54,2021-07-01,Lincoln,North Carolina,37109.0,10286,86.0,88742.0,0.1159,0.001,0.0,0.0,0.0,0.0,0.0,Low,0.1624,Central
55,2021-07-01,Macon,North Carolina,37113.0,3167,41.0,37041.0,0.0855,0.0011,0.0,0.0,0.0,0.0,0.0,Low,0.13280000000000003,Western
56,2021-07-01,Madison,North Carolina,37115.0,1602,42.0,21146.0,0.0758,0.002,0.0,0.0,0.0,0.0,0.0,Low,0.08589999999999998,Western
57,2021-07-01,Martin,North Carolina,37117.0,2325,45.0,21503.0,0.1081,0.0021,0.0,0.0,0.0,0.0,0.0,Low,0.47240000000000004,Coastal
58,2021-07-01,McDowell,North Carolina,37111.0,5291,63.0,44151.0,0.1198,0.0014,0.0,0.0,0.0,0.0,0.0,Low,0.13959999999999995,Western
59,2021-07-01,Mecklenburg,North Carolina,37119.0,114680,975.0,1128426.0,0.1016,0.0009,0.0,0.0,0.0,0.0,0.0,Low,0.5333,Central
60,2021-07-01,Mitchell,North Carolina,37121.0,1479,16.0,14783.0,0.1,0.0011,0.0,0.0,0.0,0.0,0.0,Low,0.08320000000000005,Western
61,2021-07-01,Montgomery,North Carolina,37123.0,3383,97.0,25485.0,0.1327,0.0038,0.0,0.0,0.0,0.0,0.0,Low,0.34309999999999996,Eastern
62,2021-07-01,Moore,North Carolina,37125.0,9062,194.0,102966.0,0.088,0.0019,0.0,0.0,0.0,0.0,0.0,Low,0.2278,Eastern
63,2021-07-01,Nash,North Carolina,37127.0,11709,197.0,96101.0,0.1218,0.002,0.0,0.0,0.0,0.0,0.0,Low,0.5011,Coastal
64,2021-07-01,New Hanover,North Carolina,37129.0,19557,175.0,230423.0,0.0849,0.0008,0.0,0.0,0.0,0.0,0.0,Low,0.24309999999999998,Coastal
65,2021-07-01,Northampton,North Carolina,37131.0,1894,61.0,16953.0,0.1117,0.0036,0.0,0.0,0.0,0.0,0.0,Low,0.6042000000000001,Eastern
66,2021-07-01,Onslow,North Carolina,37133.0,17891,154.0,207928.0,0.086,0.0007,0.0,0.0,0.0,0.0,0.0,Low,0.32999999999999996,Coastal
67,2021-07-01,Orange,North Carolina,37135.0,8596,101.0,148331.0,0.058,0.0007,0.0,0.0,0.0,0.0,0.0,Low,0.3336,Eastern
68,2021-07-01,Pamlico,North Carolina,37137.0,1119,13.0,12215.0,0.0916,0.0011,0.0,0.0,0.0,0.0,0.0,Low,0.24929999999999997,Coastal
69,2021-07-01,Pasquotank,North Carolina,37139.0,3443,84.0,40966.0,0.084,0.0021,0.0,0.0,0.0,0.0,0.0,Low,0.45720000000000005,Coastal
70,2021-07-01,Pender,North Carolina,37141.0,5557,71.0,62250.0,0.0893,0.0011,0.0,0.0,0.0,0.0,0.0,Low,0.24750000000000005,Coastal
71,2021-07-01,Perquimans,North Carolina,37143.0,1037,12.0,13049.0,0.0795,0.0009,0.0,0.0,0.0,0.0,0.0,Low,0.2763,Coastal
72,2021-07-01,Person,North Carolina,37145.0,3511,71.0,39048.0,0.0899,0.0018,0.0,0.0,0.0,0.0,0.0,Low,0.34640000000000004,Eastern
73,2021-07-01,Pitt,North Carolina,37147.0,20504,96.0,173536.0,0.1182,0.0006,0.0,0.0,0.0,0.0,0.0,Low,0.47850000000000004,Coastal
74,2021-07-01,Polk,North Carolina,37149.0,1501,30.0,19461.0,0.0771,0.0015,0.0,0.0,0.0,0.0,0.0,Low,0.12390000000000001,Western
75,2021-07-01,Randolph,North Carolina,37151.0,15346,232.0,143325.0,0.1071,0.0016,0.0,0.0,0.0,0.0,0.0,Low,0.2269,Northern
76,2021-07-01,Richmond,North Carolina,37153.0,4818,98.0,43006.0,0.112,0.0023,0.0,0.0,0.0,0.0,0.0,Low,0.44189999999999996,Eastern
77,2021-07-01,Robeson,North Carolina,37155.0,16880,271.0,115899.0,0.1456,0.0023,0.0,0.0,0.0,0.0,0.0,Low,0.7422,Coastal
78,2021-07-01,Rockingham,North Carolina,37157.0,8099,156.0,90457.0,0.0895,0.0017,0.0,0.0,0.0,0.0,0.0,Low,0.28169999999999995,Northern
79,2021-07-01,Rowan,North Carolina,37159.0,17248,311.0,148565.0,0.1161,0.0021,0.0,0.0,0.0,0.0,0.0,Low,0.30079999999999996,Northern
80,2021-07-01,Rutherford,North Carolina,37161.0,7448,217.0,63870.0,0.1166,0.0034,0.0,0.0,0.0,0.0,0.0,Low,0.18059999999999998,Western
81,2021-07-01,Sampson,North Carolina,37163.0,8160,114.0,58371.0,0.1398,0.002,0.0,0.0,0.0,0.0,0.0,Low,0.4706,Coastal
82,2021-07-01,Scotland,North Carolina,37165.0,3908,88.0,33662.0,0.1161,0.0026,0.0,0.0,0.0,0.0,0.0,Low,0.5786,Eastern
83,2021-07-01,Stanly,North Carolina,37167.0,7931,138.0,62143.0,0.1276,0.0022,0.0,0.0,0.0,0.0,0.0,Low,0.2137,Central
84,2021-07-01,Stokes,North Carolina,37169.0,4235,82.0,44422.0,0.0953,0.0018,0.0,0.0,0.0,0.0,0.0,Low,0.10229999999999995,Northern
85,2021-07-01,Surry,North Carolina,37171.0,8407,170.0,70573.0,0.1191,0.0024,0.0,0.0,0.0,0.0,0.0,Low,0.16890000000000005,Northern
