,county,date_number,Population,region_Central,region_Eastern,region_Western,pop_dens,tranlevel
344,Henderson,4,117429.0,False,False,True,311.8,Low
304,Ashe,4,26506.0,False,False,False,62.3,Low
358,McDowell,4,44151.0,False,False,True,101.3,Low
306,Beaufort,4,44150.0,False,False,False,53.6,Low
396,Wilkes,4,65151.0,False,False,False,87.5,Low
314,Camden,4,10537.0,False,False,False,43.1,Low
365,Northampton,4,16953.0,False,True,False,32.6,Low
387,Transylvania,4,32825.0,False,False,True,87.2,Low
315,Carteret,4,69039.0,False,False,False,133.3,Low
384,Stokes,4,44422.0,False,False,False,99.1,Low
331,Durham,4,331347.0,False,True,False,1133.7,Low
328,Davidson,4,171752.0,False,False,False,305.4,Low
342,Harnett,4,134986.0,False,True,False,224.5,Low
322,Cleveland,4,99332.0,False,False,True,214.4,Low
324,Craven,4,102568.0,False,False,False,142.5,Low
372,Person,4,39048.0,False,True,False,99.7,Low
311,Burke,4,88398.0,False,False,True,173.0,Low
350,Johnston,4,224833.0,False,False,False,272.7,Low
309,Brunswick,4,144821.0,False,False,False,160.8,Low
398,Yadkin,4,36925.0,False,False,False,111.1,Low
305,Avery,4,17347.0,False,False,True,72.0,Low
303,Anson,4,22028.0,True,False,False,41.5,Low
367,Orange,4,148331.0,False,True,False,374.0,Low
326,Currituck,4,29385.0,False,False,False,107.3,Low
300,Alamance,4,175029.0,False,False,False,404.8,Low
397,Wilson,4,79078.0,False,False,False,214.3,Low
346,Hoke,4,53783.0,False,True,False,133.5,Low
351,Jones,4,9076.0,False,False,False,19.5,Low
362,Moore,4,102966.0,False,True,False,142.9,Low
449,Jackson,5,41919.0,False,False,True,87.8,Low
450,Johnston,5,224833.0,False,False,False,272.7,Low
493,Washington,5,10708.0,False,False,False,31.8,Low
458,McDowell,5,44151.0,False,False,True,101.3,Low
495,Wayne,5,115895.0,False,False,False,211.8,Low
460,Mitchell,5,14783.0,False,False,True,67.4,Low
447,Hyde,5,4595.0,False,False,False,7.5,Low
404,Ashe,5,26506.0,False,False,False,62.3,Low
427,Dare,5,37817.0,False,False,False,96.3,Low
481,Sampson,5,58371.0,False,False,False,62.4,Low
421,Clay,5,11238.0,False,False,True,51.6,Low
439,Greene,5,19978.0,False,False,False,76.7,Low
422,Cleveland,5,99332.0,False,False,True,214.4,Low
425,Cumberland,5,341793.0,False,True,False,512.9,Low
455,Macon,5,37041.0,False,False,True,71.8,Low
478,Rockingham,5,90457.0,False,False,False,161.0,Low
494,Watauga,5,54804.0,False,False,False,173.1,Low
469,Pasquotank,5,40966.0,False,False,False,178.8,Low
436,Gates,5,10324.0,False,False,False,30.8,Low
409,Brunswick,5,144821.0,False,False,False,160.8,Low
474,Polk,5,19461.0,False,False,True,81.3,Low
438,Granville,5,60720.0,False,True,False,114.6,Low
414,Camden,5,10537.0,False,False,False,43.1,Low
430,Duplin,5,48249.0,False,False,False,59.8,Low
446,Hoke,5,53783.0,False,True,False,133.5,Low
467,Orange,5,148331.0,False,True,False,374.0,Low
492,Warren,5,18621.0,False,True,False,43.4,Low
456,Madison,5,21146.0,False,False,True,47.1,Low
445,Hertford,5,20374.0,False,False,False,61.0,Low
415,Carteret,5,69039.0,False,False,False,133.3,Low
479,Rowan,5,148565.0,False,False,False,287.1,Low
461,Montgomery,5,25485.0,False,True,False,52.4,Low
465,Northampton,5,16953.0,False,True,False,32.6,Low
434,Franklin,5,70655.0,False,True,False,139.4,Low
431,Durham,5,331347.0,False,True,False,1133.7,Low
476,Richmond,5,43006.0,False,True,False,90.7,Low
471,Perquimans,5,13049.0,False,False,False,52.6,Low
413,Caldwell,5,81319.0,False,False,False,170.9,Low
499,Yancey,5,18320.0,False,False,True,59.1,Low
483,Stanly,5,62143.0,True,False,False,158.2,Low
466,Onslow,5,207928.0,False,False,False,268.4,Low
457,Martin,5,21503.0,False,False,False,48.3,Low
473,Pitt,5,173536.0,False,False,False,261.0,Low
490,Vance,5,41665.0,False,True,False,168.7,Low
475,Randolph,5,143325.0,False,False,False,184.3,Low
477,Robeson,5,115899.0,False,False,False,123.0,Low
433,Forsyth,5,387703.0,False,False,False,938.1,Low
496,Wilkes,5,65151.0,False,False,False,87.5,Low
487,Transylvania,5,32825.0,False,False,True,87.2,Low
468,Pamlico,5,12215.0,False,False,False,36.5,Low
429,Davie,5,43127.0,False,False,False,162.0,Low
416,Caswell,5,22400.0,False,True,False,53.5,Low
453,Lenoir,5,54323.0,False,False,False,138.1,Low
408,Bladen,5,29171.0,False,False,False,33.8,Low
463,Nash,5,96101.0,False,False,False,175.7,Low
452,Lee,5,64360.0,False,True,False,248.1,Low
480,Rutherford,5,63870.0,False,False,True,114.0,Low
491,Wake,5,1154170.0,False,True,False,1353.3,Low
426,Currituck,5,29385.0,False,False,False,107.3,Low
497,Wilson,5,79078.0,False,False,False,214.3,Low
401,Alexander,5,36172.0,False,False,False,140.2,Low
424,Craven,5,102568.0,False,False,False,142.5,Low
482,Scotland,5,33662.0,False,True,False,107.1,Low
489,Union,5,244960.0,True,False,False,376.6,Low
470,Pender,5,62250.0,False,False,False,69.1,Low
464,New Hanover,5,230423.0,False,False,False,1174.0,Low
435,Gaston,5,233387.0,True,False,False,640.7,Low
462,Moore,5,102966.0,False,True,False,142.9,Low
420,Chowan,5,13646.0,False,False,False,79.4,Low
442,Harnett,5,134986.0,False,True,False,224.5,Low
472,Person,5,39048.0,False,True,False,99.7,Low
412,Cabarrus,5,232873.0,True,False,False,625.1,Low
484,Stokes,5,44422.0,False,False,False,99.1,Low
441,Halifax,5,47859.0,False,False,False,67.2,Low
443,Haywood,5,62831.0,False,False,True,112.2,Low
402,Alleghany,5,11057.0,False,False,False,46.4,Low
448,Iredell,5,192986.0,False,False,False,325.0,Low
418,Chatham,5,77095.0,False,True,False,111.9,Low
405,Avery,5,17347.0,False,False,True,72.0,Low
451,Jones,5,9076.0,False,False,False,19.5,Low
440,Guilford,5,545484.0,False,False,False,838.0,Low
406,Beaufort,5,44150.0,False,False,False,53.6,Low
485,Surry,5,70573.0,False,False,False,134.0,Low
419,Cherokee,5,28738.0,False,False,True,63.2,Low
498,Yadkin,5,36925.0,False,False,False,111.1,Low
459,Mecklenburg,5,1128426.0,True,False,False,2130.4,Low
423,Columbus,5,49795.0,False,False,False,54.0,Low
403,Anson,5,22028.0,True,False,False,41.5,Low
437,Graham,5,7935.0,False,False,True,27.5,Low
410,Buncombe,5,271638.0,False,False,True,410.4,Low
444,Henderson,5,117429.0,False,False,True,311.8,Low
432,Edgecombe,5,48604.0,False,False,False,96.7,Low
411,Burke,5,88398.0,False,False,True,173.0,Low
488,Tyrrell,5,3315.0,False,False,False,8.3,Low
400,Alamance,5,175029.0,False,False,False,404.8,Low
428,Davidson,5,171752.0,False,False,False,305.4,Low
417,Catawba,5,162841.0,False,False,False,400.2,Low
454,Lincoln,5,88742.0,True,False,False,293.4,Low
407,Bertie,5,17302.0,False,False,False,25.7,Low
486,Swain,5,14046.0,False,False,True,26.8,Low
574,Polk,6,19461.0,False,False,True,81.3,Low
595,Wayne,6,115895.0,False,False,False,211.8,Low
514,Camden,6,10537.0,False,False,False,43.1,Low
506,Beaufort,6,44150.0,False,False,False,53.6,Low
524,Craven,6,102568.0,False,False,False,142.5,Low
564,New Hanover,6,230423.0,False,False,False,1174.0,Low
531,Durham,6,331347.0,False,True,False,1133.7,Low
536,Gates,6,10324.0,False,False,False,30.8,Low
527,Dare,6,37817.0,False,False,False,96.3,Low
537,Graham,6,7935.0,False,False,True,27.5,Low
591,Wake,6,1154170.0,False,True,False,1353.3,Low
568,Pamlico,6,12215.0,False,False,False,36.5,Low
557,Martin,6,21503.0,False,False,False,48.3,Low
